person_id,full_name,title,company_name,decision,priority,reason,recommended_message_angle
5a84c14e7b39,Sebastian Klich,"Chief Officer, Product & Diversified Business",HCF Australia,PASS,3,"Chief Officer, Product & Diversified Business at HCF Australia — executive role at target insurer; may influence digital health strategy.",digital-transformation
4625ca6e1040,Maxim Sharshun,Chief Commercial Officer - Health,Bupa Australia,PASS,3,Chief Commercial Officer - Health at Bupa Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
537e5743b570,Isabella Lynch,Chief of Staff,Bupa Australia,PASS,3,Chief of Staff at Bupa Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
c53eb563d9b8,Peter Schofield,"General Manager, Branch Network",HCF Australia,PASS,3,"General Manager, Branch Network at HCF Australia — C-Level executive at target insurer; may sponsor digital health initiatives.",preventive-health
f5694e1345ac,Tanner Strickland,Chief of Staff to the CEO,HCF Australia,PASS,3,Chief of Staff to the CEO at HCF Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
f662447c5254,Anoop Mohan,Program Director - Regulatory Uplift,Medibank,PASS,3,Program Director - Regulatory Uplift at Medibank — executive role at target insurer; may influence digital health strategy.,digital-transformation
f12688f3f0e9,Mikaela Salazar,Clinic Coordinator,Bupa Australia,PASS,3,Clinic Coordinator at Bupa Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
eb8390d8e732,Simon Uzunovski,Director International & Corporate Portfolio,Bupa Australia,PASS,3,Director International & Corporate Portfolio at Bupa Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
80784e9467d4,Shannon Orbons,Blua Product Director,Bupa Australia,PASS,3,Blua Product Director at Bupa Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
064690e5e400,Kylie Simpson,Executive Assistant to the Managing Director,Medibank,PASS,3,Executive Assistant to the Managing Director at Medibank — C-Level executive at target insurer; may sponsor digital health initiatives.,preventive-health
16ab6654283a,Celine Dickson,General Manager - International Business,HCF Australia,PASS,3,General Manager - International Business at HCF Australia — C-Level executive at target insurer; may sponsor digital health initiatives.,preventive-health
4ed58ad00256,Harry Robertson,Chief Financial Officer,HCF Australia,PASS,3,Chief Financial Officer at HCF Australia — C-Level executive at target insurer; may sponsor digital health initiatives.,compliance
4c41a15bb45c,Lauren Bartlett,Integration Director,Bupa Australia,PASS,3,Integration Director at Bupa Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
875f15ffca74,Andrew Kelson,Program Director,HCF Australia,PASS,3,Program Director at HCF Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
7c207e9d6935,Sian McConnell,Director of Strategic Projects & Planning,Bupa Australia,PASS,3,Director of Strategic Projects & Planning at Bupa Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
c9f3fe4ebef2,Hakan Hurriyet,Program Director - Community Lead,HCF Australia,PASS,3,Program Director - Community Lead at HCF Australia — executive role at target insurer; may influence digital health strategy.,digital-transformation
931dc8bdb8d1,GEORGE SAVVIDES,CEO,Medibank,PASS,3,CEO at Medibank — executive role at target insurer; may influence digital health strategy.,digital-transformation
521bc1028186,Andrew Chang,CEO Head Quater,Medibank,PASS,3,CEO Head Quater at Medibank — executive role at target insurer; may influence digital health strategy.,digital-transformation
5123065d0dd6,Julie Crawford,Director Of Operations,Medibank,PASS,3,Director Of Operations at Medibank — executive role at target insurer; may influence digital health strategy.,digital-transformation
4e3fae0dc995,Brian Loo,General Manager Queensland,Medibank Private,PASS,3,General Manager Queensland at Medibank Private — C-Level executive at target insurer; may sponsor digital health initiatives.,preventive-health
a608f6af27cd,Karen Birner,Head of Assurance and Regulatory Programs,HCF Australia,WEAK,,Head of Assurance and Regulatory Programs at HCF Australia — director-level at target company; unclear health program ownership.,compliance
01cae4896b7e,Peter Coon,Head of Competitive and Market Insights,Medibank,WEAK,,Head of Competitive and Market Insights at Medibank — director at target company; may influence digital health tool decisions.,preventive-health
afc5b0b43e5e,Erin Lawless,Acting GM RT Health (Division of HCF),HCF Australia,WEAK,,Acting GM RT Health (Division of HCF) at HCF Australia — health-relevant but Individual Contributor level at large insurer lacks purchasing authority; internal champion potential.,preventive-health
f926cf0914ed,Mads Langbjerg Larsen,Head of Strategy and Delivery ANZ,Bupa Australia,WEAK,,Head of Strategy and Delivery ANZ at Bupa Australia — senior role at target company; unclear if they own health program decisions.,member-engagement
63764df8cc7e,Jonno Seidler,Creative Director,Mosh,WEAK,,Creative Director at Mosh — creative role at digital health company; adjacent but not in health product decision chain.,member-engagement
6d117ee7782d,Gerard Dalbosco,Non Executive Director,Medibank,WEAK,,Non Executive Director at Medibank — board role; strategic influence but not operational decision-maker for health program tools.,digital-transformation
5bab98f7b731,Lesley Brinckley,Head of IT Risk and Governance,HCF Australia,WEAK,,Head of IT Risk and Governance at HCF Australia — director-level at target company; unclear health program ownership.,compliance
b396db811476,Christian Panariello,Head of Growth,Bupa Australia,WEAK,,Head of Growth at Bupa Australia — senior role at target company; unclear if they own health program decisions.,member-engagement
9dc0fe0ddb06,Jonathan Goh,Head of Marketing Technology and Orchestration,Medibank,WEAK,,Head of Marketing Technology and Orchestration at Medibank — senior role at target company; unclear if they own health program decisions.,digital-transformation
330792824081,Joanne Casha,Head of Corporate Partnerships,Bupa Australia,WEAK,,Head of Corporate Partnerships at Bupa Australia — director at target company; commercial/design role not directly in health program decisions.,preventive-health
983154b8b9dd,Robert Ashmore,Head of Business Insights,HCF Australia,WEAK,,Head of Business Insights at HCF Australia — senior role at target company; unclear if they own health program decisions.,preventive-health
93b3aa19328e,Chris Leech,Head of Data Governance,Medibank,WEAK,,Head of Data Governance at Medibank — senior role at target company; unclear if they own health program decisions.,compliance
f5e43ad5d628,Tony Johnson,Chair,Bupa Australia,WEAK,,Chair at Bupa Australia — board role; strategic influence but not operational decision-maker for health program tools.,digital-transformation
036cd239a035,Cameron McCafferty,Squad Lead / Head of Technology - Architecture,Medibank,WEAK,,Squad Lead / Head of Technology - Architecture at Medibank — senior role at target company; unclear if they own health program decisions.,digital-transformation
f3159685f292,Carl James,"Chief Operating Officer Dental, Optical & Hearing",Bupa Australia,WEAK,,"Chief Operating Officer Dental, Optical & Hearing at Bupa Australia — optical/hearing division leader; non-core for FitXpress but may have broader health portfolio.",other
16cd5a2d54fd,Liz Green,Head of Content & Campaigns,Medibank,WEAK,,Head of Content & Campaigns at Medibank — senior role at target company; unclear if they own health program decisions.,digital-transformation
250c5bdd5a41,Sarah Trainor,Head of Overseas Partnerships and Sales,Medibank,WEAK,,Head of Overseas Partnerships and Sales at Medibank — director at target company; commercial/design role not directly in health program decisions.,preventive-health
07ac50e78850,Alexander Godfrey,"Partner - Digital, Data, & AI Risk | Technology APAC",Bupa Australia,WEAK,,"Partner - Digital, Data, & AI Risk | Technology APAC at Bupa Australia — innovation/tech role at insurer; may touch member-facing digital health tools.",digital-transformation
fe2fc4fb2628,Cameron Towt,Head of Data and AI Governance,Bupa Australia,WEAK,,Head of Data and AI Governance at Bupa Australia — senior role at target company; unclear if they own health program decisions.,digital-transformation
c6f8f8a751c9,Paul Berghofer,Head of Hospital Commercial Partnerships,Medibank,WEAK,,Head of Hospital Commercial Partnerships at Medibank — senior role at target company; unclear if they own health program decisions.,preventive-health
db5856d2a39c,Anton Eksteen,Head of Networks and Reliability Engineering,HCF Australia,WEAK,,Head of Networks and Reliability Engineering at HCF Australia — director-level at target company; unclear health program ownership.,preventive-health
52d0e32f3162,Mark Compton,Non Executive Director,HCF Australia,WEAK,,Non Executive Director at HCF Australia — board role; strategic influence but not operational decision-maker for health program tools.,digital-transformation
4e422f504cab,Deleine G.,Head of International Direct,Bupa Australia,WEAK,,Head of International Direct at Bupa Australia — director-level at target company; unclear health program ownership.,preventive-health
