Rank,Company,Primary Focus,Why 3DLOOK FitXpress Is a Strong Fit
21,Holmes Place Israel,Premium health-club chain operating across Israel with personal-training and body-transformation programs,FitXpress can replace manual measurements with standardized 3D scans for Holmes Place's personal-training and transformation-program members.
22,Fitness chains (Go Active / WeFitness),Israeli gym and fitness-studio chains offering personal training and body-transformation services,FitXpress scanning stations could be a premium retention feature for members tracking body-composition progress.
23,Mon4t,"Israeli medical-device startup for remote monitoring of motor, cognitive and psychiatric conditions","Lower direct fit, but Mon4t's remote-monitoring infrastructure could be a technical integration partner for adding body-composition data streams."
24,Air Doctor,Israeli-founded global telehealth marketplace connecting travelers with local doctors,Niche fit; FitXpress could be a value-add for Air Doctor's expanding chronic-care and wellness consultation lines if it grows beyond acute care.
25,Taliaz,Israeli mental-health telemedicine platform using AI for treatment personalization,Indirect fit; could be relevant only if Taliaz expands into integrated metabolic/behavioral weight-health programs.
26,Wesure / Shomera (Israeli health insurance brokers/insurers),Israeli health-insurance distribution and underwriting groups,FitXpress's standardized body data could support underwriting risk-assessment or wellness-incentive pilots.
27,Maccabi Health Tech accelerator / MDClick,Maccabi's digital-health innovation and startup-partnership arm,A natural channel to pilot FitXpress as part of Maccabi's broader digital-health innovation portfolio.
28,Clalit Innovation (former Tech.Mate),Clalit's innovation and startup-partnership program for piloting new digital-health technologies,FitXpress could enter Clalit's ecosystem through this innovation pathway ahead of a broader HMO-wide rollout.
29,Wellness/spa medical aesthetic clinics (e.g. Assuta private clinics),"Israel's largest private hospital network, including aesthetic and bariatric services",FitXpress can standardize before/after body measurements for Assuta's aesthetic and bariatric-surgery patient journeys.
30,Israel Defense Forces (IDF) Medical Corps / fitness programs,Military fitness and body-composition standards programs (potential institutional/government pilot),"FitXpress could support standardized, scalable body-composition assessment for large-scale fitness and readiness programs, subject to public-sector procurement."
